"no","en","ja","example_en","example_ja"
"71","region","リージョン","The S3 bucket is located in the us-west-2 region.","S3バケットはus-west-2リージョンにあります。"
"72","include","含む","The AWS service package includes compute, storage, and database services.","AWSサービスパッケージには、コンピュート、ストレージ、データベースサービスが含まれています。"
"73","automatically","自動的に","The AWS Lambda function is automatically triggered when a new file is uploaded to the S3 bucket.","新しいファイルがS3バケットにアップロードされると、AWS Lambda関数が自動的にトリガーされます。"
"74","run","実行する","You can run your applications on AWS EC2 instances.","AWS EC2インスタンスでアプリケーションを実行できます。"
"75","endpoint","エンドポイント","The API Gateway provides an endpoint for your application to interact with.","API Gatewayは、アプリケーションがやり取りするためのエンドポイントを提供します。"
"76","code","コード","You can deploy your code to AWS Lambda and run it in response to events.","AWS Lambdaにコードをデプロイして、イベントに応じて実行できます。"
"77","detail","詳細","You can find more details about the AWS service in the documentation.","AWSサービスの詳細については、ドキュメントで確認できます。"
"78","section","セクション","Please refer to the security section of the AWS documentation for best practices.","AWSドキュメントのセキュリティセクションを参照して、ベストプラクティスを確認してください。"
"79","associate","関連付ける","You need to associate the Elastic IP address with the EC2 instance.","Elastic IPアドレスをEC2インスタンスに関連付ける必要があります。"
"80","setting","設定","You can modify the settings of your RDS instance through the AWS Management Console.","AWSマネジメントコンソールを通じて、RDSインスタンスの設定を変更できます。"
"81","group","グループ","You can create security groups in AWS to control inbound and outbound traffic.","AWSでセキュリティグループを作成して、インバウンドとアウトバウンドのトラフィックを制御できます。"
"82","exist","存在する","You can use the AWS CLI to check if the specified S3 bucket exists.","AWS CLIを使用して、指定されたS3バケットが存在するかどうかを確認できます。"
"83","return","戻す","The Lambda function returns the result of the computation to the API Gateway.","Lambda関数は、計算結果をAPI Gatewayに返します。"
"84","network","ネットワーク","You can create a virtual private network on AWS for your resources.","AWS上でリソースのための仮想プライベートネットワークを作成することができます。"
"85","image","イメージ","You can use an Amazon Machine Image to launch an EC2 instance.","Amazonマシンイメージを使用してEC2インスタンスを起動することができます。"
"86","connect","接続する","You can connect to your EC2 instance using SSH.","SSHを使用してEC2インスタンスに接続することができます。"
"87","connection","接続","Ensure that the connection between your VPC and on-premises network is secure.","VPCとオンプレミスネットワーク間の接続が安全であることを確認してください。"
"88","capacity","容量","Monitor the capacity of your EBS volumes to ensure optimal performance.","最適なパフォーマンスを確保するためにEBSボリュームの容量を監視してください。"
"89","contain","含む","The AWS Management Console contains various tools to manage your resources.","AWSマネジメントコンソールには、リソースを管理するためのさまざまなツールが含まれています。"
"90","additional","追加の","You may need to provision additional EC2 instances to handle increased traffic.","増加したトラフィックを処理するために、追加のEC2インスタンスをプロビジョニングする必要があるかもしれません。"
"91","load","負荷","Use Amazon CloudWatch to monitor the load on your EC2 instances.","Amazon CloudWatchを使用してEC2インスタンスの負荷を監視してください。"
"92","activity","活動","The activity log shows all the actions performed in the AWS Management Console.","AWS管理コンソールで実行されたすべてのアクションがアクティビティログに表示されます。"
"93","recommend","推奨する","We recommend using the latest version of AWS SDK for better performance.","より良いパフォーマンスのために、最新バージョンのAWS SDKを使用することを推奨します。"
"94","update","更新する","You can update the instance type of your EC2 instance to improve its performance.","パフォーマンスを向上させるために、EC2インスタンスのインスタンスタイプを更新できます。"
"95","option","オプション","You can choose different storage options for your S3 bucket depending on your needs.","ニーズに応じて、S3バケットに異なるストレージオプションを選択できます。"
"96","step","手順","Follow these steps to create a new IAM user in your AWS account.","AWSアカウントに新しいIAMユーザーを作成するには、これらの手順に従ってください。"
"97","enable","有効にする","Enable AWS CloudTrail to monitor and log API calls made in your account.","アカウントで行われたAPI呼び出しを監視およびログに記録するには、AWS CloudTrailを有効にします。"
"98","example","例","For example,you can use AWS Lambda to automatically resize images uploaded to S3.","例えば、AWS Lambdaを使用して、S3にアップロードされた画像を自動的にリサイズできます。"
"99","within","以内","You can set up an alarm in Amazon CloudWatch to notify you if the CPU usage exceeds 80% within a specified time period.","指定された期間内にCPU使用率が80%を超えた場合に通知するアラームをAmazon CloudWatchで設定できます。"
"100","change","変更","You can change the security group rules to allow or deny specific traffic to your EC2 instances.","セキュリティグループのルールを変更して、特定のトラフィックをEC2インスタンスに許可または拒否できます。"
"101","process","プロセス","The process of creating an EC2 instance involves selecting an AMI and configuring the instance details.","EC2インスタンスを作成するプロセスには、AMIの選択とインスタンスの詳細の設定が含まれます。"
"102","tag","タグ","You can add tags to your resources to help you organize and manage them.","リソースにタグを追加して、それらを整理・管理するのに役立てることができます。"
"103","agent","エージェント","The AWS Systems Manager Agent must be installed on your instances to use certain features.","特定の機能を使用するために、AWS Systems Managerエージェントをインスタンスにインストールする必要があります。"
"104","workflow","ワークフロー","You can use AWS Step Functions to create a serverless workflow that orchestrates your AWS Lambda functions.","AWS Lambda関数をオーケストレーションするサーバーレスワークフローを作成するために、AWS Step Functionsを使用できます。"
"105","engine","エンジン","Amazon RDS supports multiple database engines including MySQL PostgreSQL and Oracle.","Amazon RDSは、MySQL、PostgreSQL、Oracleなどの複数のデータベースエンジンをサポートしています。"
"106","credential","資格情報","You need to store your AWS credentials securely to prevent unauthorized access.","不正なアクセスを防ぐために、AWSの資格情報を安全に保管する必要があります。"
"107","feature","機能","Amazon S3 offers features such as versioning and lifecycle policies to help you manage your objects.","Amazon S3は、バージョニングやライフサイクルポリシーなどの機能を提供して、オブジェクトの管理を支援します。"
"108","procedure","手順","Follow the procedure to create an Amazon S3 bucket.","Amazon S3バケットを作成する手順に従ってください。"
"109","usage","使用法","Monitor your AWS usage to control costs.","コストを抑えるためにAWSの使用状況を監視してください。"
"110","based","基づいて","Choose an AWS region based on your requirements.","要件に基づいてAWSリージョンを選択してください。"
"111","complete","完了する","Wait for the AWS CloudFormation stack to complete before proceeding.","進む前にAWS CloudFormationスタックが完了するのを待ってください。"
"112","accept","受け入れる","Accept the invitation to join an AWS Organizations account.","AWS Organizationsアカウントに参加するための招待を受け入れてください。"
"113","launch","起動する","Launch an Amazon RDS instance with the specified configuration.","指定された設定でAmazon RDSインスタンスを起動してください。"
"114","require","必要とする","This AWS service requires additional permissions to function properly.","このAWSサービスは、適切に機能するために追加の権限が必要です。"
"115","availability","可用性","Ensure high availability of your application by using Amazon RDS Multi-AZ deployment.","Amazon RDS Multi-AZデプロイメントを使用してアプリケーションの高可用性を確保してください。"
"116","system","システム","The AWS Management Console provides a web-based interface for managing your AWS systems.","AWSマネジメントコンソールは、AWSシステムを管理するためのウェブベースのインターフェースを提供します。"
"117","replica","レプリカ","AWS RDS allows you to create read replicas to offload read traffic from your primary database instance.","AWS RDSでは、プライマリデータベースインスタンスからの読み取りトラフィックをオフロードするために、リードレプリカを作成できます。"
"118","cache","キャッシュ","Amazon ElastiCache is a web service that makes it easy to deploy and run Memcached or Redis protocol-compliant server nodes in the cloud.","Amazon ElastiCacheは、クラウドでMemcachedまたはRedisプロトコル準拠のサーバーノードを簡単にデプロイおよび実行できるウェブサービスです。"
"119","definition","定義","The AWS CloudFormation template is a JSON or YAML formatted text file that defines the AWS resources and their properties.","AWS CloudFormationテンプレートは、AWSリソースとそのプロパティを定義するJSONまたはYAML形式のテキストファイルです。"
"120","status","ステータス","You can check the status of your AWS resources in the AWS Management Console.","AWSマネジメントコンソールでAWSリソースのステータスを確認できます。"
"121","domain","ドメイン","Amazon Route 53 is a highly available and scalable Domain Name System (DNS) web service.","Amazon Route 53は、高可用性でスケーラブルなドメイン名システム（DNS）ウェブサービスです。"
"122","insight","インサイト","Amazon CloudWatch provides insights to monitor your applications respond to system-wide performance changes and optimize resource utilization.","Amazon CloudWatchは、アプリケーションの監視、システム全体のパフォーマンス変更への対応、およびリソース利用の最適化に関するインサイトを提供します。"
"123","encryption","暗号化","Amazon S3 provides server-side encryption to protect your data at rest.","Amazon S3は、サーバーサイド暗号化を提供して、データを保護します。"
"124","target","ターゲット","You can create an Application Load Balancer to distribute incoming traffic across multiple targets.","アプリケーションロードバランサーを作成して、複数のターゲットに対して受信トラフィックを分散させることができます。"
"125","environment","環境","You need to set up the AWS environment before deploying your application.","AWS環境を設定してからアプリケーションをデプロイする必要があります。"
"126","identity","識別子","Amazon Cognito provides identity management for your users.","Amazon Cognitoはユーザーの識別子管理を提供します。"
"127","upgrade","アップグレード","You should upgrade your AWS services to the latest version for better performance.","より良いパフォーマンスのために、AWSサービスを最新バージョンにアップグレードする必要があります。"
"128","allow","許可する","You need to allow access to the S3 bucket for your users.","ユーザーがS3バケットにアクセスできるように許可する必要があります。"
"129","apply","適用する","You can apply a security group to your EC2 instances for better protection.","より良い保護のために、セキュリティグループをEC2インスタンスに適用することができます。"
"130","node","ノード","You can add more nodes to your Amazon Elasticsearch cluster for better performance.","より良いパフォーマンスのために、Amazon Elasticsearchクラスタにさらにノードを追加することができます。"
"131","whether","かどうか","You should check whether your AWS resources are properly configured.","AWSリソースが適切に設定されているかどうか確認する必要があります。"
"132","state","状態","You can monitor the state of your AWS resources using Amazon CloudWatch.","Amazon CloudWatchを使用して、AWSリソースの状態を監視することができます。"
"133","snapshot","スナップショット","You can create a snapshot of your Amazon EBS volume for backup purposes.","Amazon EBSボリュームのスナップショットをバックアップ目的で作成できます。"
"134","template","テンプレート","You can use AWS CloudFormation templates to create and manage your AWS resources.","AWS CloudFormationテンプレートを使用して、AWSリソースを作成および管理できます。"
"135","origin","オリジン","You need to specify the origin server for your Amazon CloudFront distribution.","Amazon CloudFrontディストリビューションのオリジンサーバーを指定する必要があります。"
"136","manager","マネージャー","AWS Certificate Manager helps you manage SSL/TLS certificates for your AWS resources.","AWS Certificate Managerは、AWSリソースのSSL/TLS証明書を管理するのに役立ちます。"
"137","describe","説明する","The DescribeInstances API action returns information about your Amazon EC2 instances.","DescribeInstances APIアクションは、Amazon EC2インスタンスに関する情報を返します。"
"138","private","プライベート","You can create a private subnet in your Amazon VPC to isolate your resources.","Amazon VPC内にプライベートサブネットを作成して、リソースを隔離できます。"
"139","proxy","プロキシ","You can use Amazon API Gateway as a proxy for your backend services.","Amazon API Gatewayをバックエンドサービスのプロキシとして使用できます。"
"140","modify","変更する","You can modify the instance type of your EC2 instance in the AWS Management Console.","AWS管理コンソールでEC2インスタンスのインスタンスタイプを変更することができます。"
"141","runner","実行者","The AWS CodePipeline runner is responsible for executing the pipeline stages.","AWS CodePipelineのランナーは、パイプラインの各ステージを実行する責任があります。"
"142","primary","主要な","The primary key is used to uniquely identify items in a DynamoDB table.","プライマリキーは、DynamoDBテーブル内のアイテムを一意に識別するために使用されます。"
"143","documentation","ドキュメント","AWS provides extensive documentation for all of its services to help users understand and use them effectively.","AWSは、すべてのサービスについて詳細なドキュメントを提供しており、ユーザーがそれらを理解し効果的に使用できるように支援しています。"
"144","directory","ディレクトリ","AWS Directory Service is a managed service that allows you to connect your AWS resources with an existing on-premises Microsoft Active Directory.","AWSディレクトリサービスは、AWSリソースを既存のオンプレミスのMicrosoft Active Directoryと接続できるマネージドサービスです。"
"145","table","テーブル","Amazon DynamoDB is a managed NoSQL database service that provides fast and predictable performance with seamless scalability and supports both document and key-value store models.","Amazon DynamoDBは、シームレスなスケーラビリティと高速で予測可能なパフォーマンスを提供し、ドキュメントとキーバリューストアモデルの両方をサポートするマネージドNoSQLデータベースサービスです。"
"146","authentication","認証","AWS Identity and Access Management (IAM) enables you to manage access to AWS services and resources securely by providing authentication and authorization.","AWS Identity and Access Management（IAM）は、認証と承認を提供することで、AWSサービスとリソースへのアクセスを安全に管理できるようにします。"
"147","deployment","展開","We need to plan the deployment of our application on AWS.","AWS上でアプリケーションの展開を計画する必要があります。"
"148","mode","モード","You can switch the instance mode to a different type for better performance.","より良いパフォーマンスのためにインスタンスのモードを別のタイプに切り替えることができます。"
"149","grant","許可","You need to grant the necessary permissions to the IAM user.","IAMユーザーに必要な権限を許可する必要があります。"
"150","store","格納","The data is stored in an Amazon S3 bucket.","データはAmazon S3バケットに格納されています。"
"151","extension","拡張","You can use AWS WAF to add security extensions to your application.","アプリケーションにセキュリティ拡張機能を追加するために、AWS WAFを使用できます。"
"152","page","ページ","You can find the information on the AWS documentation page.","AWSドキュメントページで情報を見つけることができます。"
"153","restore","復元","You can restore your data from an Amazon S3 backup.","Amazon S3のバックアップからデータを復元することができます。"
"154","monitor","監視","Amazon CloudWatch helps you monitor your AWS resources.","Amazon CloudWatchは、AWSリソースを監視するのに役立ちます。"
"155","certificate","証明書","You need to upload an SSL certificate to use with your Amazon CloudFront distribution.","Amazon CloudFrontディストリビューションで使用するために、SSL証明書をアップロードする必要があります。"
"156","flow","フロー","AWS Step Functions allows you to create a flow of AWS Lambda functions.","AWS Step Functionsを使用すると、AWS Lambda関数のフローを作成することができます。"
"157","execution","実行","The Lambda function execution role must have the necessary permissions.","Lambda関数の実行ロールには、必要な権限が必要です。"
"158","metadata","メタデータ","You can store metadata about your objects in Amazon S3 using object tags.","オブジェクトタグを使用して、Amazon S3でオブジェクトに関するメタデータを保存できます。"
"159","virtual","仮想","Amazon EC2 provides resizable virtual servers in the cloud.","Amazon EC2は、クラウド内でサイズ変更可能な仮想サーバーを提供します。"
"160","instead","代わりに","Use Amazon RDS instead of managing your own database server.","独自のデータベースサーバーを管理する代わりに、Amazon RDSを使用してください。"
"161","tool","ツール","AWS provides various tools and SDKs to help you develop and manage your applications.","AWSは、アプリケーションの開発と管理を支援するためのさまざまなツールとSDKを提供しています。"
"162","follow","従う","Follow the best practices for securing your AWS account.","AWSアカウントを保護するためのベストプラクティスに従ってください。"
"163","maximum","最大","The maximum number of instances you can launch in a region depends on your account limits.","リージョンで起動できるインスタンスの最大数は、アカウントの制限によって異なります。"
"164","interface","インターフェース","Amazon API Gateway provides a custom interface for your APIs.","Amazon API Gatewayは、APIに対してカスタムインターフェースを提供します。"
"165","statement","ステートメント","You can use IAM policy statements to define permissions for your AWS resources.","IAMポリシーステートメントを使用して、AWSリソースの権限を定義できます。"
"166","current","現在の","Please check the current status of your AWS resources.","AWSリソースの現在の状況を確認してください。"
"167","determine","決定する","You can use AWS Trusted Advisor to determine the best instance type for your workload.","AWS Trusted Advisorを使用して、ワークロードに最適なインスタンスタイプを決定できます。"
"168","connector","コネクタ","AWS Database Migration Service uses a connector to transfer data between source and target databases.","AWS Database Migration Serviceは、ソースとターゲットデータベース間のデータ転送にコネクタを使用します。"
"169","serverless","サーバーレス","AWS Lambda is a serverless compute service that runs your code in response to events.","AWS Lambdaは、イベントに応答してコードを実行するサーバーレスコンピューティングサービスです。"
"170","output","出力","You can view the output of your AWS Lambda function in the AWS Management Console.","AWS Management ConsoleでAWS Lambda関数の出力を表示できます。"
"171","represent","表す","The Amazon Resource Name (ARN) represents a unique identifier for AWS resources.","Amazon Resource Name（ARN）は、AWSリソースの一意の識別子を表します。"
"172","session","セッション","The user logged into the AWS Management Console and started a new session.","ユーザーはAWSマネジメントコンソールにログインし、新しいセッションを開始しました。"
"173","result","結果","The result of the AWS Lambda function execution was successful.","AWS Lambda関数の実行結果は成功しました。"
"174","name","名前","The user created a new Amazon S3 bucket with the name my-bucket.","ユーザーはmy-bucketという名前の新しいAmazon S3バケットを作成しました。"
"175","copy","コピー","The user copied an Amazon EC2 instance from one region to another.","ユーザーはAmazon EC2インスタンスをあるリージョンから別のリージョンにコピーしました。"
"176","destination","宛先","The user set up an Amazon SNS topic as the destination for CloudWatch alarms.","ユーザーはCloudWatchアラームの宛先としてAmazon SNSトピックを設定しました。"
"177","attach","アタッチする","The user attached an IAM role to the Amazon EC2 instance.","ユーザーはIAMロールをAmazon EC2インスタンスにアタッチしました。"
"178","monitoring","監視","AWS provides various monitoring tools to track the performance of your resources.","AWSは、リソースのパフォーマンスを追跡するためのさまざまな監視ツールを提供しています。"
"179","administrator","管理者","The administrator has full access to all AWS services and resources.","管理者は、すべてのAWSサービスとリソースに完全アクセス権を持っています。"
"180","alarm","アラーム","You can set up an alarm in CloudWatch to notify you when a specific metric crosses a threshold.","特定のメトリックがしきい値を超えたときに通知するために、CloudWatchでアラームを設定できます。"
"181","string","文字列","The string format of the date is not supported by the AWS service.","日付の文字列形式は、AWSサービスでサポートされていません。"
"182","temporary","一時的な","You can create temporary security credentials for your users with AWS Security Token Service.","AWSセキュリティトークンサービスを使用して、ユーザーの一時的なセキュリティ資格情報を作成できます。"
"183","case","ケース","In some cases you may need to manually configure the settings for your AWS resources.","場合によっては、AWSリソースの設定を手動で構成する必要があります。"
"184","manual","手動","You can manually create a backup of your Amazon RDS instance.","Amazon RDSインスタンスのバックアップを手動で作成できます。"
"185","cloud","クラウド","Amazon Web Services is a cloud computing platform that provides a wide range of services.","Amazon Web Servicesは、幅広いサービスを提供するクラウドコンピューティングプラットフォームです。"
"186","bucket","バケット","You can store your files in Amazon S3 buckets for easy access and retrieval.","Amazon S3バケットにファイルを保存して、簡単にアクセスして取得できるようにします。"
"187","element","要素","The configuration file contains several elements that need to be updated.","設定ファイルには更新が必要ないくつかの要素が含まれています。"
"188","call","呼び出し","The Lambda function is triggered by an API Gateway call.","API Gatewayの呼び出しによってLambda関数がトリガーされます。"
"189","mesh","メッシュ","App Mesh is a service mesh that provides application-level networking.","App Meshは、アプリケーションレベルのネットワーキングを提供するサービスメッシュです。"
"190","topic","トピック","SNS topics are used to send messages to multiple subscribers.","SNSトピックは、複数のサブスクライバーにメッセージを送信するために使用されます。"
"191","method","方法","The API Gateway supports various methods such as GET POST and DELETE.","API Gatewayは、GET、POST、DELETEなどのさまざまな方法をサポートしています。"
"192","streaming","ストリーミング","Kinesis Data Streams is a service for real-time data streaming.","Kinesis Data Streamsは、リアルタイムデータストリーミングのためのサービスです。"
"193","limit","制限","There is a limit on the number of EC2 instances that can be launched in a region.","リージョンで起動できるEC2インスタンスの数には制限があります。"
"194","lifecycle","ライフサイクル","Amazon S3 provides lifecycle policies to manage the storage of objects.","Amazon S3は、オブジェクトのストレージを管理するためのライフサイクルポリシーを提供しています。"
"195","empty","空の","The S3 bucket is empty.","S3バケットは空です。"
"196","address","アドレス","The IP address of the EC2 instance is 192.168.1.1.","EC2インスタンスのIPアドレスは192.168.1.1です。"
"197","active","アクティブ","The active instances are running in the Auto Scaling group.","アクティブなインスタンスがオートスケーリンググループで実行されています。"
"198","schema","スキーマ","The schema of the DynamoDB table is defined by the primary key.","DynamoDBテーブルのスキーマはプライマリキーによって定義されます。"
"199","illustrate","説明する","The architecture diagram illustrates the flow of data between AWS services.","アーキテクチャ図は、AWSサービス間のデータフローを説明しています。"
